id;subtopic_id;subject_id;class;question;option_a;option_a_explanation;option_b;option_b_explanation;option_c;option_c_explanation;option_d;option_d_explanation;answer;additional_notes;created_at;updated_at;user_id;question_level;question_type
13;12;;;<p>2+2</p>;<p>7</p>;<p>.</p>;<p>5</p>;<p>.</p>;<p>4</p>;<p>.</p>;<p>3</p>;<p>.</p>;3;<p>2+2= 4</p>;2019-09-03 17:20:12;2019-09-03 17:20:12;;L;
14;72;;;"<p><strong>&nbsp;Identify the collective noun in the following sentence</strong></p><p>&nbsp; My sister decided to join a band last year.</p>";<p>My</p>;<p>My- this is a possessive pronoun</p>;<p>Band</p>;<p>Band- this is a collective noun</p>;<p>Sister</p>;<p>Sister- this is a common noun</p>;<p>Year</p>;<p>Year- this is a common noun.</p>;2;"<p><i>Collective nouns</i> are words that name a group of things or people as a unit. They refer to a collection of people or things, for example; crew, audience, congregation etc.</p>";2019-09-04 18:52:04;2019-09-04 18:52:04;;L;
15;72;;;"<p>&nbsp;Identify the collective noun in the following sentence.</p><p>&nbsp; A bevy of girls welcomed the guest.</p>";<p>Girls</p>;<p>Girls- this is a common noun</p>;<p>Bevy</p>;<p>Bevy- this is a collective noun</p>;<p>Guest</p>;<p>Guest- this is a common noun</p>;<p>Welcomed</p>;<p>Welcomed- this is a verb</p>;2;"<p><i>Collective nouns</i> are words that name a group of things or people as a unit. They refer to a collection of people or things, for example; crew, audience, congregation etc.</p>";2019-09-04 18:57:04;2019-09-04 18:57:04;;L;
16;72;;;"<p>&nbsp;Identify the collective noun in the following sentence.</p><p>&nbsp;The government has decided to open more maternity hospitals.</p>";<p>Hospitals</p>;<p>Hospitals- this is a common noun</p>;<p>Decided</p>;<p>Decided- this is a verb</p>;<p>Government</p>;<p>Government- this is a collective noun</p>;<p>The</p>;<p>The- is a determiner</p>;3;"<p><i>Collective nouns</i> are words that name a group of things or people as a unit. They refer to a collection of people or things, for example; crew, audience, congregation etc.</p>";2019-09-04 19:01:15;2019-09-04 19:01:15;;L;
17;72;;;"<p>&nbsp;Identify the collective noun in the following sentence.</p><p>&nbsp; Edward is happy because his team won the football match.</p>";<p>Edward</p>;<p>Edward- this is a proper noun</p>;<p>Football</p>;<p>Football- this is a compound noun</p>;<p>Match</p>;<p>Match- this is a countable noun</p>;<p>Team</p>;<p>Team- this is a collective noun</p>;4;"<p><i>Collective nouns</i> are words that name a group of things or people as a unit. They refer to a collection of people or things, for example; crew, audience, congregation etc.</p>";2019-09-04 19:04:42;2019-09-04 19:04:42;;L;
18;72;;;"<p>Identify the collective noun in the following sentence.</p><p>&nbsp;An army of ants infested all the sugar on the teaspoon.</p>";<p>Army</p>;<p>Army- this is a collective noun</p>;<p>Sugar</p>;<p>Sugar- this is an uncountable noun</p>;<p>Teaspoon</p>;<p>Teaspoon- this is a compound noun</p>;<p>Ants</p>;<p>Ants- this is a common noun</p>;1;"<p><i>Collective nouns</i> are words that name a group of things or people as a unit. They refer to a collection of people or things, for example; crew, audience, congregation etc.</p>";2019-09-04 19:07:24;2019-09-04 19:07:24;;L;
19;12;;;<p>4*4</p>;<p>20</p>;<p>.</p>;<p>15</p>;<p>.</p>;<p>16</p>;<p>.</p>;<p>4</p>;<p>.</p>;3;<p>4*4=16</p>;2019-09-07 12:35:26;2019-09-07 12:35:26;;L;
20;12;;;<p>10/2</p>;<p>5</p>;<p>.</p>;<p>10</p>;<p>.</p>;<p>2</p>;<p>.</p>;<p>1</p>;<p>.</p>;1;<p>10/2=5</p>;2019-09-08 13:07:48;2019-09-08 13:07:48;;L;
21;66;;;<p>Test Question</p>;<p>A</p>;<p>.</p>;<p>B</p>;<p>.</p>;<p>C</p>;<p>.</p>;<p>D</p>;<p>.</p>;2;<p>.</p>;2019-09-09 11:13:31;2019-09-09 11:13:31;;L;
33;72;1;10;<p>Identify the compound noun used in the following sentence. </p><p>The headteacher arrived earlier today. <br></p>;<p>Headteacher<br></p>;Headteacher- this is a compound noun ;<p>Arrived<br></p>;Arrived- this is a verb ;<p>Earlier<br></p>;Earlier- this is an adjective ;<p>Today<br></p>;Today- this is an adverb of time ;1;"Compound nouns are a combination of two or more different words to refer to one thing, person or idea. They are formed by combining two or more nouns, for example; tea+spoon=teaspoon, class+room= classroom. ";2019-09-11 08:33:49;2019-09-11 08:33:49;;L;
34;62;1;9;<p>Identify the common noun in this sentence. </p><p>They love our game.   <br></p>;<p>They<br></p>;They - is the third person plural. ;<p>Love<br></p>;Love - is a verb. ;<p>Our<br></p>;Our - is a pronoun. ;<p>Game<br></p>;Game is the common noun. ;4;"Common nouns are names that refer to things in general, they start in small letter unless it's at the beginning of a sentence. Other examples include: table, dress and teacher. ";2019-09-11 08:42:14;2019-09-11 08:42:14;;L;
35;72;1;10;<p> Identify the common nouns in this sentence. </p><p>Who is making dinner today? <br></p>;Who;Who- is a WH-Question used while asking a question. ;Making;Making is a verb to show an action. ;Dinner;Dinner is the common noun. ;Today;Today - this is an adverb of time ;3;"Common nouns are names that refer to things in general, they start in small letter unless it's at the beginning of a sentence. Other examples include: table, house and rat. ";2019-09-11 08:45:16;2019-09-11 08:45:16;;L;
36;62;1;9;<p> Identify the common noun in this sentence. </p><p>Maria has milked the cow. <br></p>;Maria;"Maria - is a proper noun, it is a name of a person. ";Has;Has - is an auxiliary verb used with singular nouns. ;Milked;Milked - is the past tense of the verb milk ;Cow;Cow- this is the common nouns to refer to all the cows in general. ;4;"Common nouns are names that refer to things in general, they start in small letter unless it's at the beginning of a sentence. Other examples include: nurse, river and hill. ";2019-09-11 08:48:13;2019-09-11 08:48:13;;L;
37;62;1;9;<p>Identify the common noun in this sentence. </p><p>The disasters should have been prevented. <br></p>;<p>The<br></p>;The - is a determiner used before the noun disaster.;<p>Disaster<br></p>;Disaster - is the common noun to refer to a general thing. ;<p>Should<br></p>;Should - is an auxiliary verb to show obligation. ;<p>Prevented<br></p>;Prevented - is the past tense verb of prevent. ;2;"Common nouns are names that refer to things in general, they start in small letter unless it's at the beginning of a sentence. Other examples include: table, book and teacher. ";2019-09-11 09:59:48;2019-09-11 09:59:48;;L;
38;62;1;9;<p> Identify the common noun in this sentence. </p><p>We have a big hall in our school. <br></p>;We;"We - is a personal pronoun, first person plural ";"Big, our<br>";"Big, our- is an adjective describing the noun hall. Our is a possessive pronoun. ";"Hall, school<br>";"Hall, school - hall and school are common nouns, they are names of general things. ";"Have, school<br>";"Have, school - have is an auxiliary verb. School is a common noun.";3;"Common nouns are names that refer to things in general, they start in small letter unless it's at the beginning of a sentence. Other examples include: table, book and teacher ";2019-09-11 10:03:12;2019-09-11 10:03:12;;L;
39;62;1;9;<p>Identify the proper noun from this sentence. </p><p>She bought Aisha a beautiful dress. <br></p>;She;She - is a pronoun referring to a lady. ;Bought;Bought - is the past tense of buy. ;Aisha;Aisha-  is the proper noun referring to a name of a person. ;Dress;Dress-  is a common noun to refer to a general thing. ;3;"Proper nouns are specific names of people, places or things. Anitta, MT. Kenya and River Tana are proper nouns. ";2019-09-11 10:05:41;2019-09-11 10:05:41;;L;
40;62;1;9;"<p>Identify the proper noun from this sentence. </p><p>Their brother, Travis, was rescued by the lifesavers. <br></p>";Their;Their -  is used to show ownership. ;Brother;Brother -  is a common noun. ;Travis;Travis - is a proper noun referring to a name of a person. ;Lifesavers;Lifesavers is a common noun.;3;"A proper noun is a name of a person, thing or place. Nairobi, Uganda and Indian Ocean are proper nouns. ";2019-09-11 10:07:59;2019-09-11 10:07:59;;L;
41;62;1;9;<p>Identify the proper noun from this sentence. </p><p>Has the policeman arrested Maria? <br></p>;Has;Has - is an auxiliary verb used with singular nouns. ;Policeman;Policeman -  is a common noun. ;Arrested;Arrested - is a past tense verb of arrest.;Maria;"Maria - is the proper noun, it is a name of a person. ";4;"Proper nouns are specific names of people, places or things. Dr. Nasibi, MurangÃ¡ and Toyota are proper nouns.  ";2019-09-11 10:15:03;2019-09-11 10:15:03;;L;
42;62;1;9;<p>Identify the proper noun from this sentence. </p><p>Benta listened to her tutor's advice. <br></p>;Benta;"Benta - is a proper noun, it is a name of a person. ";Her;Her - is a pronoun referring to a girl. ;Tutor's;Tutor's - is a common noun showing possession ;Advice;Advice - is a common noun. ;1;"Proper nouns are the actual names of people, things and places. Examples include: Ghana, River Tana, Tuesday and Kenyatta University. ";2019-09-11 10:17:30;2019-09-11 10:17:30;;L;
43;62;1;9;<p>Identify the proper noun from this sentence. </p><p>We had dinner at the Hilton Hotel <br></p>;We;"We - is a personal pronoun, first person plural. ";Had;Had - is an auxiliary verb ;Dinner;Dinner - is a common noun ;Hilton hotel<br>;Hilton hotel - this is a proper noun ;4;"Proper nouns are the actual names of people, things and places. Examples include: Ghana, River Tana, Tuesday and Kenyatta University. ";2019-09-11 10:19:43;2019-09-11 10:19:43;;L;
57;105;1;10;<p>Identify the common noun in the sentence below. </p><p>We enjoy our hobbies.   <br></p>;<p>We <br></p>;We is the first person plural. ;<p>Enjoy<br></p>; Enjoy is a verb. ;<p>Our <br></p>;Our is a pronoun.  ;<p>Hobbies<br></p>;Hobbies is the common noun.;4;"Common nouns are names that refer to things in general, they start in small letter unless it's at the beginning of a sentence. Other examples include: table, book and teacher.";2019-09-25 15:10:12;2019-09-25 15:10:12;;L;
58;105;1;10;<p><b>Identify the common noun in the sentence below.</b><br></p><p>Who is baking the cake? <br></p>;<p>Who<br></p>;Who - is a WH-Question used while asking a question. ;<p>Baking <br></p>;Baking is a verb to show an action. ;<p>The<br></p>;The  is a determiner used before the noun cake. ;<p>Cake <br></p>;Cake is the common noun. ;1;"Common nouns are names that refer to things in general, they start in small letter unless it's at the beginning of a sentence. Other examples include: table, house and rat. ";2019-09-25 15:21:11;2019-09-25 15:21:11;;L;
59;105;1;10;<p><b>Identify the common noun in the sentence below.</b></p><p> Thomas has bought a stamp. <br></p>;<p>Thomas <br></p>;"Thomas is a proper noun, it is a name of a person. ";<p>has <br></p>;has is an auxiliary verb used with singular nouns. ;<p>bought<br></p>;bought  is the past tense of the verb buy ;<p>Stamp<br></p>; Stamp is the common noun to refer to all the stamps in general. ;4;"Common nouns are names that refer to things in general, they start in small letter unless it's at the beginning of a sentence. Other examples include: nurse, river and hill. ";2019-09-25 15:25:22;2019-09-25 15:25:22;;L;
60;105;1;10;<p><b>Identify the common noun in the sentence below.</b><br></p><p>Some disasters can be prevented.<br></p>;<p> Some <br></p>;Some is a determiner used before the noun disaster. ;<p>Disaster<br></p>;Disaster  is the common noun to refer to a general thing. ;<p>Can <br></p>;Can is an auxiliary verb to show ability. ;<p>Prevented <br></p>;Prevented is the past tense verb of prevent. ;2;"Common nouns are names that refer to things in general, they start in small letter unless it's at the beginning of a sentence. Other examples include: table, book and teacher. ";2019-09-25 15:28:44;2019-09-25 15:28:44;;L;
61;105;1;10;<p><b>Identify the proper noun in the following sentence. </b></p><p>She sent Wafula to fetch a sweater. <br></p>;<p>She <br></p>;She is a pronoun referring to a lady. ;<p>Sent <br></p>;Sent is the past tense of send. ;<p>Wafula<br></p>;Wafula is the proper noun referring to a name of a person. ;<p>Sweater<br></p>;Sweater  is a common noun to refer to a general thing. ;3;"Proper nouns are specific names of people, places or things. Alex, MT. Kenya and River Tana are proper nouns. ";2019-09-25 15:35:49;2019-09-25 15:35:49;;L;
62;105;1;10;"<p><b>Identify the proper noun in the following sentence</b></p><p>My sister, Chepkirui, was rescued by the lifesavers. <br></p>";<p>My <br></p>;My is used to show ownership. ;<p>Sister <br></p>;Sister is a common noun. ;<p>Chepkirui <br></p>;Chepkirui is a proper noun referring to a name of a person. ;<p>Lifesavers <br></p>;Lifesavers is a common noun. ;3;"A proper noun is a name of a person, thing or place. Nairobi, Uganda and Indian Ocean are proper nouns. ";2019-09-25 15:42:51;2019-09-25 15:42:51;;L;
63;105;1;10;<p><b>Identify the proper noun in the following sentence</b></p><p>Has the inspector talked to Njeru? <br></p>;<p>Has<br></p>;Has is an auxiliary verb used with singular nouns. ;<p>Inspector<br></p>;Inspector is a common noun. ;<p>Talked <br></p>;Talked is a past tense verb of talk. ;<p>Njeru<br></p>;"Njeru is the proper noun, it is a name of a person. ";4;"Proper nouns are specific names of people, places or things. Dr. Mwangi, Nakuru and Toyota are proper nouns. ";2019-09-25 15:46:10;2019-09-25 15:46:10;;L;
64;105;1;10;<p><b>Identify the proper noun in the following sentence</b></p><p>Benta listened to her tutor's advice.<br></p>;"<p> Benta&nbsp; <br></p>";"Benta is a proper noun, it is a name of a person. ";"<p>Her&nbsp; <br></p>";Her is a pronoun referring to a girl. ;"<p>Tutor's&nbsp; <br></p>";Tutor's is a common noun showing possession;"<p> Advice&nbsp; <br></p>";Advice is a common noun. ;1;"Proper nouns are the actual names of people, things and places. Examples include: Ghana, Lake Victoria and Mary. ";2019-09-25 15:48:29;2019-09-25 15:48:29;;L;
65;107;4;10;<p><b>Maneno yafuatayo hupatikana katika ngeli zipi?</b></p><p> Kiroboto _________<br></p>;<p> LI-YA <br></p>;"LI-YA- haina kianzio maalum katika umoja lakini huanza kwa MA katika wingi, kwa mfano; darasa-madarasa, sanduku-masanduku. ";<p>U-YA <br></p>;"U-YA- maneno huanza kwa U katika umoja na kwa MA katika wingi, kwa mfano; ulezi-malezi,ugonjwa-magonjwa";"<p>&nbsp;A-WA <br></p>";"A-WA- ni ngeli inayohusisha viumbe vyenye uhai, kwa mfano; kunguni, nyuki, mbuzi.";<p> KI-VI <br></p>;"KI-VI- maneno huanza kwa KI au CH katika umoja na kwa VY au VI katika wingi, kwa mfano; kiti-viti, choo-vyoo. ";3;"Ngeli ya A-WA inahusisha viumbe vyenye uhai yaani majina ya viumbe vyote ambavyo huzaliwa na kufa kama wanyama, wadudu na binadamu. Kwa mfano; mkulima, nyuki, mzee. ";2019-09-25 16:24:22;2019-09-25 16:24:22;;L;
66;110;3;7;<p>What are the four main parts of blood?<br></p>;"<p>Platelets, plasma, auricles and white blood cells<br></p>";Auricles are the upper chambers of in heart.;"<p>Plasma, white blood cells, red blood cells and platelets<br></p>";These are the four main parts of blood;"<p>Veins, arteries, capillaries and red blood cells<br></p>";The first three are blood vessels.;"<p>Oxyhaemoglobin, plasma, platelets and red blood cells<br></p>";Oxyhaemoglobin is a combination of oxygen and haemoglobin carried by red blood cells.;2;"Blood consist of four main parts; plasma, platelets, red blood cells and white blood cells.";2020-01-09 00:01:25;2020-01-09 00:01:25;;L;
67;108;1;10;"<p>On the last day of 2019, Iranian President Hassan Rouhani said that successive rounds of United States sanctions on Iran cost the Islamic Republic $100bn in oil revenue and another $100bn of investment money. What was the reason for the sanctions?<br></p>";<p>Nuclear activities<br></p>;;<p>Iran's malign activities<br></p>;;<p>Religious Differences<br></p>;;<p>Proximal location to Israel<br></p>;;1;Nil;2020-01-09 14:25:13;2020-01-09 14:25:13;;L;
68;108;1;10;<p>What's the centre of Iranian culture?<br></p>;<p>Kerman<br></p>;Hoseini's birthplace;<p>Isfahan<br></p>;Beautiful art;Hormuz;Proximity to Indian Ocean;<p>Tehran<br></p>;Capital;4;Tehran is among the oldest cities in Middle East;2020-01-14 05:52:13;2020-01-14 05:52:13;;L;
69;111;1;10;What's the main base in Southern Yemen for the UAE backed separatists?<br>;<p>Aden<br></p>;;<p>San'aa<br></p>;;<p>Taiz<br></p>;;<p>Hoddeidah<br></p>;;1;;2020-01-14 06:50:06;2020-01-14 06:50:06;;L;
70;176;1;10;<p>How long had Oman's Sultan ruled before his recent demise?<br></p>;<p>30 years<br></p>;;<p>40 years<br></p>;;<p>50 years<br></p>;;<p>20 years<br></p>;;3;;2020-01-14 06:53:59;2020-01-14 06:53:59;;L;
71;244;6;6;<p>Biblical creation stories are recorded in the book of................. <br></p>;<p>Revelation <br></p>;the last book in the bible. ;<p>Exodus <br></p>;the story of Moses and the Israelites move from Egypt. ;<p>Genesis<br></p>; the first book with creation stories. ;<p>Malachi<br></p>;the last book of the Old Testament.;3;Stories of creation are recorded in Genesis.;2020-01-22 15:00:07;2020-01-22 15:00:07;;L;
72;244;6;6;<p>................ and ................ were the first parents<br></p>;<p>Abraham and Sarah <br></p>;the first parents. ;<p>Mary and Joseph <br></p>;parents to Jesus. ;<p>Adam and Eve <br></p>;first human beings created on earth. ;<p>Isaac and Rebecca<br></p>; Isaac was Abraham's son;1;Abraham and Sarah were the first parents.;2020-01-22 15:10:09;2020-01-22 15:10:09;;L;
73;244;6;6;<p>The sky was created on the .............day. <br></p>;<p>Seventh day<br></p>;God rested.;<p> First day <br></p>;Day and Night. ;<p>Third day<br></p>;" Land, sea and plants. ";<p>Second day<br></p>;the sky. ;4;God created the sky on the second day. ;2020-01-22 15:17:38;2020-01-22 15:17:38;;L;
75;220;4;6;<p>Andika hii sentensi kwa wingi. Mvuvi alimvua kambare.<br></p>;<p>Wavuvi walivua wakambare<br></p>;"Wingi wa alimvua - waliwavua, kambare - kambare ";<p>Mvuvi walimvua kambare<br></p>;"Wingi wa mvuvi - wavuvi, alimvua - waliwavua";<p>Wavuvi walimvua kambare<br></p>;"Wingi wa mvuvi - wavuvi, alimvua - waliwavua, kambare - kambare ";<p>Wavuvi aliwavua kambare<br></p>;"Wingi wa alimvua - waliwavua, kambare - kambare ";4;Ngeli hii ya A - WA huitwa hivi kwa sababu katika hali ya umoja vitenzi vyake huanza kwa kiambishi awali 'A' na katika hali wa wingi huanza kwa kiambishi 'WA'. kwa mfano. mwanafunzi alianguka. - Wanafunzi walianguka. ;2020-01-22 16:02:42;2020-01-22 16:02:42;;L;
77;220;4;6;<p>Andika hii sentensi kwa wingi. </p><p>Shujaa amerudi kutoka vitani.<br></p>;<p>Washujaa amerudi kutoka vitani.<br></p>;"wingi wa shujaa ni mashujaa, amerudi - wamerudi ";<p>Shujaa amerudi kutoka vitani.<br></p>;"wingi wa shujaa ni mashujaa, amerudi - wamerudi ";<p>Shujaa wamerudi kutoka vitani.<br></p>;"wingi wa shujaa ni mashujaa, amerudi - wamerudi ";<p>Mashujaa wamerudi kutoka vitani.<br></p>;"wingi wa shujaa ni mashujaa, amerudi - wamerudi ";4;Ngeli hii ya A - WA huitwa hivi kwa sababu katika hali ya umoja vitenzi vyake huanza kwa kiambishi awali 'A' na katika hali wa wingi huanza kwa kiambishi 'WA'. kwa mfano. mwanafunzi alianguka. - Wanafunzi walianguka. ;2020-01-22 16:08:36;2020-01-22 16:08:36;;L;
80;220;4;6;<p>Andika hii sentensi kwa wingi. </p><p>Kiti hiki ni cha naibu wa rais. <br></p>;<p>Viti hivi ni cha naibu wa rais.<br></p>;wingi wa cha ni vya. naibu ni manaibu. ;<p>Kiti hizi ni cha naibu wa rais.<br></p>;Wingi wa kiti ni viti. hiki ni hivi. cha ni vya. naibu ni manaibu.;<p>Kiti hucho ni cha naibu wa rais.<br></p>;Wingi wa kiti ni viti. hiki - hivi. cha - vya. naibu - manaibu. ;<p>Viti hivi ni vya manaibu wa rais. <br></p>;Wingi wa kiti ni viti. hiki - hivi. cha - vya. naibu - manaibu.  ;4;Ngeli hii ya KI -VI huitwa hivi kwa sababu katika hali ya umoja majina yanaanza na 'KI' na kwa wingi yanaanza na 'VI'. Pia katika hali ya umoja vitenzi vyake huanza kwa kiambishi awali 'KI' na katika hali wa wingi huanza kwa kiambishi 'VI'. kwa mfano. kiatu chake kimekatika. - viatu vyao vimekatika. ;2020-01-22 16:19:15;2020-01-22 16:19:15;;L;
82;220;4;6;<p>Andika hii sentensi kwa wingi. </p><p>Kiatu kilichoshonwa na fundi kimeraruka.<br></p>;<p>Viatu vilivyoshonwa na mafundi vimeraruka. <br></p>;wingi wa kiatu ni viatu. Kilichoshonwa ni vilivyoshonwa. fundi ni mafundi. kimeraruka ni vimeraruka.;<p>Viatu zilizoshonwa na fundi zimeraruka. <br></p>;wingi wa kilichoshonwa ni vilivyoshonwa. fundi ni mafundi. kimeraruka ni vimeraruka. ;<p>Viatu vilivyoshonwa na fundi vimeraruka.<br></p>;wingi wa fundi ni mafundi.  ;<p>Viatu zilizoshonwa na mafundi zimeraruka.<br></p>;wingi wa kilichoshonwa ni vilivyoshonwa. kimeraruka ni vimeraruka. ;1;Ngeli hii ya KI -VI  huitwa hivi kwa sababu katika hali ya umoja majina yanaanza na 'KI' na kwa wingi yanaanza na  'VI'. Pia katika hali ya umoja vitenzi vyake huanza kwa kiambishi awali 'KI' na katika hali wa wingi huanza kwa kiambishi 'VI'. kwa mfani. kiatu chake kimekatika. - viatu vyao vimekatika. ;2020-01-22 16:22:53;2020-01-22 16:22:53;;L;
83;220;4;6;<p>Andika hii sentensi kwa wingi. </p><p>Mimi nililiogopa jitu hilo. <br></p>;<p>Sisi tuliliogopa jitu hilo.<br></p>;Wingi wa mimi ni sisi. nililiogopa - tuliyaogopa. jitu - majitu. hilo- hayo.;<p>Sisi tuliyaogopa majitu hilo.<br></p>;Wingi wa mimi ni sisi. nililiogopa - tuliyaogopa. jitu - majitu. hilo- hayo. ;<p>Sisi tuliyaogopa majitu hayo.<br></p>;Wingi wa mimi ni sisi. nililiogopa - tuliyaogopa. jitu - majitu. hilo- hayo. ;<p>Sisi hatukuyaogopa majitu hayo.<br></p>;Wingi wa mimi ni sisi. nililiogopa - tuliyaogopa. jitu - majitu. hilo- hayo. ;3;"Nomino kwa ngeli ya 'LI -YA' ambazo ziko katika hali ya umoja hazichukui viambishi vianzio maluum, lakini wingi huchukua -ma-, -au-, -me-, kama viambishi vianzio, kwa mifano: Gari linasonga. - Magari yanasonga. ";2020-01-22 16:26:38;2020-01-22 16:26:38;;L;
84;220;4;6;<p>Andika hii sentensi kwa wingi. </p><p>Yai lake limepasuka. <br></p>;<p>Mayai yao yamepasuka. <br></p>;Wingi wa yai ni mayai. Lake - yao. limepasuka - yamepasuka.;<p>Yai yake yamepasuka. <br></p>;Wingi wa yai ni mayai. Lake - yao. limepasuka - yamepasuka. ;<p>Mayai yake yamepasuka. <br></p>;Wingi wa yai ni mayai. Lake - yao. limepasuka - yamepasuka. ;<p>Yai lao limepasuka. <br></p>;Wingi wa yai ni mayai. Lake - yao. limepasuka - yamepasuka. ;1;"Nomino kwa ngeli ya 'LI -YA' ambazo ziko katika hali ya umoja hazichukui viambishi vianzio maluum, lakini wingi huchukua -ma-, -au-, -me-, kama viambishi vianzio, kwa mifano: Gari linasonga. - Magari yanasonga. Jiwe lililomgonga. - Mawe yaliyowagonga. ";2020-01-22 16:29:39;2020-01-22 16:29:39;;L;
87;220;4;6;<p>Andika hii sentensi kwa wingi. </p><p>Askari alilikamata jibwa lililotoroka.  </p><p><br></p>;<p>Askari waliyakamata majibwa yaliyotoroka. <br></p>;Wingi wa askari - maaskari. alilikamata - waliyakamata. jibwa - majibwa. lililotoroka - yaloyotoroka. ;<p>Maaskari waliyakamata majibwa yaliyotoroka. <br></p>;Wingi wa askari - maaskari. alilikamata - waliyakamata. jibwa - majibwa. lililotoroka - yaliyotoroka. ;<p>Askari aliyakamata majibwa yaliyotoroka. <br></p>;Wingi wa askari - maaskari. alilikamata - waliyakamata. jibwa - majibwa. lililotoroka - yaloyotoroka. ;<p>Askari walizikamata majibwa zilizotoroka. <br></p>;Wingi wa askari - maaskari. alilikamata - waliyakamata. jibwa - majibwa. lililotoroka - yaloyotoroka. ;2;"Nomino kwa ngeli ya 'LI -YA' ambazo ziko katika hali ya umoja hazichukui viambishi vianzio maluum, lakini wingi huchukua -ma-, -au-, -me-, kama viambishi vianzio, kwa mifano: Gari linasonga. - Magari yanasonga. Jiwe lililomgonga. - Mawe yaliowagonga. ";2020-01-22 16:35:29;2020-01-22 16:35:29;;L;
89;220;4;6;<p>Andika hii sentensi kwa umoja. </p><p>Miti ya maembe inateleza. <br></p>;<p>Mti ya maembe inateleza. <br></p>;"Umoja wa miti - mti, za - wa, maembe - embe, inateleza - unateleza. ";<p>Mti wa maembe intateleza. <br></p>;"Umoja wa miti - mti, za - wa, maembe - embe, inateleza - unateleza. ";<p>Mti wa embe inateleza. <br></p>;"Umoja wa miti - mti, za - wa, maembe - embe, inateleza - unateleza. ";<p>Mti wa embe unateleza. <br></p>;"Umoja wa miti - mti, za - wa, maembe - embe, inateleza - unateleza. ";4;Nomino katika ngeli ya U - I huchukua kiambishi cha uambatanisho wa sarufi 'U' katika umoja na kiambishi 'I' katika wingi. Kwa mfano. Mkate ulionunuliwa jana. - mikate iliyonunuliwa jana imeharibika. Mfuko wake umeraruka. - Mifuko yao imeraruka. ;2020-01-22 16:37:57;2020-01-22 16:37:57;;L;
